name,handedness,height,weight,avg,HR,count
Bruce Boisclair,Left Handed,74,185,0.263,10,1
Ken Singleton,Switch Hitter,76,210,0.282,246,1
Frank White,Right Handed,71,165,0.255,160,1
Jim Fairey,Left Handed,70,190,0.235,7,1
Jose Roman,Right Handed,72,175,0,0,1
Tom Brookens,Right Handed,70,165,0.246,71,1
Gary Thomasson,Left Handed,73,180,0.249,61,1
Mike Trujillo,Right Handed,73,180,0,0,1
Albert Williams,Right Handed,76,190,0,0,1
Oswaldo Peraza,Right Handed,76,172,0,0,1
Otto Velez,Right Handed,72,170,0.251,78,1
Tony Scott,Switch Hitter,72,164,0.249,17,1
Ray Oyler,Right Handed,71,165,0.175,15,1
Barry Cort,Right Handed,77,210,0,0,1
Floyd Robinson,Left Handed,69,175,0.283,67,1
Steve Jeltz,Switch Hitter,71,180,0.21,5,1
Lou Brock,Left Handed,71,170,0.293,149,1
Bill Wilkinson,Right Handed,70,160,0,0,1
Joe Lovitto,Switch Hitter,72,185,0.216,4,1
Mike Loynd,Right Handed,76,210,0,0,1
Wayne Comer,Right Handed,70,175,0.229,16,1
Dave Collins,Switch Hitter,71,175,0.272,32,1
Ed Spiezio,Right Handed,71,180,0.238,39,1
Rico Petrocelli,Right Handed,72,175,0.251,210,1
Johnny Lewis,Left Handed,73,189,0.227,22,1
Dick Simpson,Right Handed,76,176,0.207,15,1
Ken Boswell,Left Handed,72,170,0.248,31,1
Ken McMullen,Right Handed,75,190,0.248,156,1
Randy Scarbery,Switch Hitter,73,185,0,0,1
Steve Swisher,Right Handed,74,205,0.216,20,1
Ben Callahan,Right Handed,79,230,0,0,1
Dick Howser,Right Handed,68,155,0.248,16,1
Manny Castillo,Switch Hitter,69,160,0.242,3,1
Mike Ramsey,Switch Hitter,73,170,0.24,2,1
Willie Crawford,Left Handed,73,197,0.268,86,1
Bobby Cuellar,Right Handed,71,188,0,0,1
Willie Norwood,Right Handed,72,185,0.242,18,1
Mike Jones,Left Handed,78,215,0,0,1
Jeff Stone,Left Handed,72,175,0.277,11,1
Ramon Manon,Right Handed,72,150,0,0,1
Joe Lahoud,Left Handed,73,198,0.223,65,1
Tim Flannery,Left Handed,71,175,0.255,9,1
Dave McKay,Switch Hitter,73,195,0.229,21,1
John Trautwein,Right Handed,75,205,0,0,1
Andy Replogle,Right Handed,77,205,0,0,1
Zach Crouch,Left Handed,75,180,0,0,1
Benny Ayala,Right Handed,73,185,0.251,38,1
Ron Romanick,Right Handed,76,195,0,0,1
Greg Gross,Left Handed,70,160,0.287,7,1
Bruce Tanner,Left Handed,75,220,0,0,1
Sal Butera,Right Handed,72,190,0.227,8,1
Jack Brohamer,Left Handed,70,165,0.245,30,1
Von Joshua,Left Handed,70,170,0.273,30,1
Eddie Milner,Left Handed,71,173,0.253,42,1
Johnny Jeter,Right Handed,73,180,0.244,18,1
Angel Salazar,Right Handed,72,180,0.212,2,1
Tony Oliva,Left Handed,73,175,0.304,220,1
Cito Gaston,Right Handed,75,190,0.256,91,1
Cookie Rojas,Right Handed,70,160,0.263,54,1
Rich Morales,Right Handed,71,170,0.195,6,1
Dave Ford,Right Handed,76,190,0,0,1
Dan Ford,Right Handed,73,185,0.27,121,1
Barry Raziano,Switch Hitter,70,175,0,0,1
Darryl Motley,Right Handed,69,196,0.243,44,1
Ozzie Virgil,Right Handed,73,180,0.243,98,1
Johnny Oates,Left Handed,71,188,0.25,14,1
Pat Underwood,Left Handed,72,175,0,0,1
Mike Phillips,Left Handed,72,170,0.24,11,1
Ron Santo,Right Handed,72,190,0.277,342,1
Jay Johnstone,Left Handed,73,175,0.267,102,1
Jim Ray Hart,Right Handed,71,185,0.278,170,1
Marc Hill,Right Handed,75,205,0.223,34,1
Joel McKeon,Left Handed,72,185,0,0,1
Danny Fife,Right Handed,75,175,0,0,1
Chico Salmon,Right Handed,70,160,0.249,31,1
Joe Niekro,Right Handed,73,185,0.156,1,1
Andy Etchebarren,Right Handed,73,190,0.235,49,1
Ken Berry,Right Handed,72,175,0.255,58,1
Dave Concepcion,Right Handed,74,155,0.267,101,1
Junior Moore,Right Handed,71,185,0.264,7,1
Mike Richardt,Right Handed,72,170,0.226,4,1
Chris Brown,Right Handed,72,185,0.269,38,1
Al Bumbry,Left Handed,68,170,0.281,54,1
Al Downing,Right Handed,71,175,0.127,2,1
Bob Didier,Switch Hitter,72,190,0.229,0,1
Jake Gibbs,Left Handed,72,180,0.233,25,1
Garry Hancock,Left Handed,72,175,0.247,12,1
Ed Kranepool,Left Handed,75,205,0.261,118,1
Rick Rhoden,Right Handed,75,195,0.238,9,1
Denny McLain,Right Handed,73,185,0.133,1,1
Chuck Hiller,Left Handed,71,170,0.243,20,1
Jorge Orta,Left Handed,70,170,0.278,130,1
Dave Cash,Right Handed,71,170,0.283,21,1
Bucky Dent,Right Handed,69,170,0.247,40,1
Andy Beene,Right Handed,75,205,0,0,1
Bruce Robbins,Left Handed,73,190,0,0,1
Tony Gonzalez,Left Handed,69,170,0.286,103,1
Leon Hooten,Right Handed,71,180,0,0,1
Larry Haney,Right Handed,74,195,0.215,12,1
Billy Conigliaro,Right Handed,72,180,0.256,40,1
Gary Roenicke,Right Handed,75,205,0.247,121,1
Don Lock,Right Handed,74,195,0.238,122,1
Billy Cowan,Right Handed,72,170,0.236,40,1
Billy Smith,Switch Hitter,74,185,0.23,17,1
Allan Ramirez,Right Handed,70,180,0,0,1
Tony Perez,Right Handed,74,175,0.279,379,1
Chuck Schilling,Right Handed,70,160,0.239,23,1
Hal McRae,Right Handed,71,180,0.29,191,1
Dave Roberts,Right Handed,75,215,0.239,49,1
Brian Allard,Right Handed,73,175,0,0,1
Jim Lefebvre,Switch Hitter,72,180,0.251,74,1
Fernando Arroyo,Right Handed,74,180,0,0,1
Gary Beare,Right Handed,76,205,0,0,1
Charlie Spikes,Right Handed,75,215,0.246,65,1
Brian Dubois,Left Handed,70,165,0,0,1
Steve Whitaker,Left Handed,72,180,0.23,24,1
Manny Jimenez,Left Handed,73,185,0.272,26,1
Chris Batton,Right Handed,76,195,0,0,1
Duffy Dyer,Right Handed,72,187,0.221,30,1
Ken Henderson,Switch Hitter,74,180,0.257,122,1
Vance Lovelace,Left Handed,77,205,0,0,1
Greg Thayer,Right Handed,71,182,0,0,1
Vern Fuller,Right Handed,73,170,0.232,14,1
Paul Hartzell,Right Handed,77,200,0,0,1
Wayne Gross,Left Handed,74,210,0.233,121,1
Mike Champion,Right Handed,72,185,0.229,2,1
Ralph Botting,Left Handed,72,195,0,0,1
Paul Casanova,Right Handed,76,180,0.225,50,1
Steve Rogers,Right Handed,74,175,0.138,0,1
Keith Creel,Right Handed,74,180,0,0,1
Terry Crowley,Left Handed,72,180,0.25,42,1
Horace Clarke,Switch Hitter,69,170,0.256,27,1
Lou Clinton,Right Handed,73,185,0.247,65,1
Larry Cox,Right Handed,70,178,0.221,12,1
Nate Colbert,Right Handed,74,190,0.243,173,1
Phil Roof,Right Handed,74,190,0.215,43,1
Chuck Hinton,Right Handed,73,180,0.264,113,1
Tim Cullen,Right Handed,73,185,0.22,9,1
Tim Harkness,Left Handed,74,182,0.235,14,1
Rick Bosetti,Right Handed,71,185,0.25,17,1
Ron Pruitt,Right Handed,72,185,0.269,12,1
George Foster,Right Handed,73,180,0.274,348,1
Jerry White,Switch Hitter,70,164,0.253,21,1
Angel Mangual,Right Handed,70,178,0.245,22,1
Ken Gerhart,Right Handed,72,190,0.221,24,1
Mike Hershberger,Right Handed,70,175,0.252,26,1
Jim French,Left Handed,68,180,0.196,5,1
Dave Roberts,Left Handed,75,195,0.194,7,1
Jim Mason,Left Handed,74,185,0.203,12,1
Mike Smith,Right Handed,75,180,0,0,1
Willie Smith,Left Handed,72,182,0.248,46,1
T.R. Bryden,Right Handed,76,190,0,0,1
Jose Arcia,Right Handed,75,170,0.215,1,1
Leon Durham,Left Handed,73,185,0.277,147,1
Tom Makowski,Right Handed,71,185,0,0,1
Paul Householder,Switch Hitter,72,180,0.236,29,1
Aurelio Rodriguez,Right Handed,70,180,0.237,124,1
Jimmy Stewart,Switch Hitter,72,165,0.237,8,1
Dick Phillips,Left Handed,72,180,0.229,12,1
Andres Thomas,Right Handed,73,170,0.234,42,1
Ed Crosby,Left Handed,74,175,0.22,0,1
Mike de la Hoz,Right Handed,71,175,0.251,25,1
Frank Taveras,Right Handed,72,155,0.255,2,1
Joe Nossek,Right Handed,72,178,0.228,3,1
Larry Stahl,Left Handed,72,175,0.232,36,1
Jose Cruz,Left Handed,72,170,0.284,165,1
Don Mason,Left Handed,71,160,0.205,3,1
Bill Robinson,Right Handed,74,189,0.258,166,1
Jim Umbarger,Left Handed,78,200,0,0,1
Sal Bando,Right Handed,72,195,0.254,242,1
George Mitterwald,Right Handed,74,195,0.236,76,1
Mike Darr,Right Handed,76,190,0,0,1
Craig Robinson,Right Handed,70,165,0.219,0,1
Bob Tillman,Right Handed,76,205,0.232,79,1
Curt Wardle,Left Handed,77,220,0,0,1
Pat Corrales,Right Handed,72,180,0.216,4,1
Mike Tyson,Right Handed,69,170,0.241,27,1
Rafael Landestoy,Switch Hitter,70,165,0.237,4,1
Duane Josephson,Right Handed,72,190,0.258,23,1
Duane Walker,Left Handed,72,185,0.229,24,1
Glenn Hubbard,Right Handed,69,150,0.244,70,1
Roger Freed,Right Handed,72,190,0.245,22,1
George Hendrick,Right Handed,75,195,0.278,267,1
Rod Carew,Left Handed,72,170,0.328,92,1
Bob Davis,Right Handed,72,180,0.197,6,1
Toby Harrah,Right Handed,72,175,0.264,195,1
Rick Manning,Left Handed,73,180,0.257,56,1
Israel Sanchez,Left Handed,69,170,0,0,1
Steve Burke,Switch Hitter,74,200,0,0,1
Gary Matthews,Right Handed,74,185,0.281,234,1
Cesar Geronimo,Left Handed,72,165,0.258,51,1
Billy Bryan,Left Handed,76,200,0.216,41,1
Terry Taylor,Right Handed,73,180,0,0,1
Terry Whitfield,Left Handed,73,197,0.281,33,1
Mario Mendoza,Right Handed,71,170,0.215,4,1
Fred Lynn,Left Handed,73,185,0.283,306,1
Larry Hisle,Right Handed,74,193,0.273,166,1
Graig Nettles,Left Handed,72,180,0.248,390,1
Randy Nosek,Right Handed,76,215,0,0,1
Dave Engle,Right Handed,75,210,0.262,31,1
Narciso Elvira,Left Handed,70,160,0,0,1
Mike Easler,Left Handed,72,190,0.293,118,1
Mark Smith,Right Handed,74,215,0,0,1
Paul Mitchell,Right Handed,73,195,0,0,1
Rick Sweet,Switch Hitter,73,200,0.234,6,1
Thurman Munson,Right Handed,71,190,0.292,113,1
Rick Monday,Left Handed,75,193,0.264,241,1
Mike Sadek,Right Handed,69,165,0.226,5,1
Mark Belanger,Right Handed,73,170,0.228,20,1
Ron Hunt,Right Handed,72,186,0.273,39,1
Joe Keough,Left Handed,72,185,0.246,9,1
Butch Edge,Right Handed,75,203,0,0,1
Vic Correll,Right Handed,70,185,0.229,29,1
Jackie Hernandez,Right Handed,71,165,0.208,12,1
Tony Solaita,Left Handed,72,210,0.255,50,1
U L Washington,Switch Hitter,71,175,0.251,27,1
Gary Mielke,Right Handed,75,185,0,0,1
Rick Henninger,Right Handed,78,225,0,0,1
Joe Foy,Right Handed,72,215,0.248,58,1
Ed Goodson,Left Handed,75,180,0.26,30,1
Mark Brown,Switch Hitter,74,190,0,0,1
Mickey Klutts,Right Handed,71,170,0.241,14,1
Leroy Stanton,Right Handed,73,195,0.244,77,1
Rafael Vasquez,Right Handed,72,160,0,0,1
Len Whitehouse,Left Handed,71,175,0,0,1
Danny Ainge,Right Handed,76,175,0.22,2,1
Adolfo Phillips,Right Handed,73,175,0.247,59,1
Marv Breeding,Right Handed,72,175,0.25,7,1
Steve Adkins,Right Handed,78,210,0,0,1
Dick McAuliffe,Left Handed,71,176,0.247,197,1
Joe Horlen,Right Handed,72,170,0.134,0,1
Glenn Burke,Right Handed,72,195,0.237,2,1
Tony Mack,Right Handed,70,177,0,0,1
Terry Humphrey,Right Handed,75,185,0.211,6,1
Bill Moran,Right Handed,76,210,0,0,1
Enzo Hernandez,Right Handed,68,155,0.224,2,1
Cesar Gutierrez,Right Handed,69,155,0.235,0,1
Coco Laboy,Right Handed,70,165,0.233,28,1
Ted Kubiak,Switch Hitter,72,175,0.231,13,1
Jim Morrison,Right Handed,71,175,0.26,112,1
Tom Gilles,Right Handed,73,185,0,0,1
Bobby Knoop,Right Handed,73,170,0.236,56,1
Bobby Brown,Switch Hitter,74,190,0.245,26,1
Tom Hutton,Left Handed,71,180,0.248,22,1
Ron Hodges,Left Handed,73,185,0.24,19,1
Rich Chiles,Left Handed,71,170,0.254,6,1
Tom Paciorek,Right Handed,76,215,0.282,86,1
Gary Woods,Right Handed,74,185,0.243,13,1
Bob Montgomery,Right Handed,73,195,0.258,23,1
Jeff Burroughs,Right Handed,73,200,0.261,240,1
Rusty Staub,Left Handed,74,190,0.279,292,1
Jim Norris,Left Handed,70,175,0.264,7,1
Oscar Gamble,Left Handed,71,160,0.265,200,1
Bob Kammeyer,Right Handed,76,210,0,0,1
George Vukovich,Left Handed,72,198,0.268,27,1
Joe Pactwa,Left Handed,71,185,0,0,1
Craig Reynolds,Left Handed,73,175,0.256,42,1
Paul Blair,Right Handed,72,168,0.25,134,1
Al Cowens,Right Handed,73,197,0.27,108,1
Al Oliver,Left Handed,72,195,0.303,219,1
Dave Hilton,Right Handed,71,191,0.213,6,1
Luis Alvarado,Right Handed,69,162,0.214,5,1
Larry Parrish,Right Handed,75,190,0.263,256,1
Woodie Fryman,Right Handed,75,197,0.138,2,1
Bob Randall,Right Handed,74,175,0.257,1,1
Jim Pankovits,Right Handed,70,170,0.25,9,1
Sherman Corbett,Left Handed,76,205,0,0,1
Carmen Fanzone,Right Handed,72,200,0.224,20,1
Gary Allenson,Right Handed,71,185,0.221,19,1
Milt May,Left Handed,72,190,0.263,77,1
Mike Vail,Right Handed,73,180,0.279,34,1
Nick Esasky,Right Handed,75,200,0.25,122,1
Jim Nettles,Left Handed,72,186,0.22,16,1
Lafayette Currence,Switch Hitter,71,175,0,0,1
Chris Cannizzaro,Right Handed,72,190,0.235,18,1
Larry Biittner,Left Handed,74,205,0.273,29,1
John Pawlowski,Right Handed,74,175,0,0,1
Mel Stottlemyre,Right Handed,73,178,0.16,7,1
Jack Hardy,Right Handed,74,175,0,0,1
Ron Musselman,Right Handed,74,185,0,0,1
Roy Smalley,Switch Hitter,73,185,0.257,163,1
Tony Chevez,Right Handed,71,177,0,0,1
Andy Messersmith,Right Handed,73,200,0.17,5,1
Richie Zisk,Right Handed,73,200,0.287,207,1
Dave Chalk,Right Handed,70,175,0.252,15,1
Don Baylor,Right Handed,73,190,0.26,338,1
John Vukovich,Right Handed,73,187,0.161,6,1
Danny Thompson,Right Handed,72,183,0.248,15,1
Joe Simpson,Left Handed,75,175,0.242,9,1
Bill Fahey,Left Handed,72,200,0.241,7,1
Doug Camilli,Right Handed,71,195,0.199,18,1
Bernie Allen,Left Handed,72,175,0.239,73,1
Bruce Bochy,Right Handed,75,205,0.239,26,1
Gary Ignasiak,Right Handed,71,185,0,0,1
Claudell Washington,Left Handed,72,190,0.278,164,1
John Donaldson,Left Handed,71,160,0.238,4,1
Mike Smithson,Left Handed,80,215,0,0,1
John Mayberry,Left Handed,75,215,0.253,255,1
Ken Reitz,Right Handed,72,180,0.26,68,1
Amos Otis,Right Handed,71,165,0.277,193,1
Gene Alley,Right Handed,70,160,0.254,55,1
Ted Sizemore,Right Handed,70,165,0.262,23,1
Dan Briggs,Left Handed,72,180,0.195,12,1
Joe Skalski,Right Handed,75,190,0,0,1
Doug Flynn,Right Handed,71,165,0.238,7,1
Bert Bradley,Switch Hitter,73,190,0,0,1
Ken Holtzman,Right Handed,74,175,0.163,2,1
Pete Ward,Left Handed,73,185,0.254,98,1
Kevin Bell,Right Handed,72,195,0.222,13,1
Tom Nieto,Right Handed,73,193,0.205,5,1
Duke Sims,Left Handed,74,197,0.239,100,1
Larvell Blanks,Right Handed,68,167,0.253,20,1
Francisco Barrios,Right Handed,71,155,0,0,1
Mike Davis,Left Handed,74,175,0.259,91,1
Jerry Reuss,Left Handed,77,200,0.167,1,1
Steve Yeager,Right Handed,72,190,0.228,102,1
Danny Goodwin,Left Handed,73,195,0.236,13,1
Bud Harrelson,Switch Hitter,71,160,0.236,7,1
Bob Knepper,Left Handed,75,195,0.137,6,1
Mickey Rivers,Left Handed,70,165,0.295,61,1
Jim Northrup,Left Handed,75,190,0.267,153,1
John Hale,Left Handed,74,195,0.201,14,1
Reggie Ritter,Left Handed,74,195,0,0,1
Pedro Garcia,Right Handed,70,175,0.22,37,1
Carl Yastrzemski,Left Handed,71,175,0.285,452,1
Bob Babcock,Right Handed,77,210,0,0,1
Craig Eaton,Right Handed,71,175,0,0,1
Derrel Thomas,Switch Hitter,72,160,0.249,43,1
Art Howe,Right Handed,74,190,0.26,43,1
Ike Brown,Right Handed,72,190,0.256,20,1
Howie Goss,Right Handed,76,204,0.216,11,1
Glenn Borgmann,Right Handed,76,210,0.229,16,1
Lamar Johnson,Right Handed,74,215,0.287,64,1
Julio Gonzalez,Right Handed,71,162,0.235,4,1
Bobby Klaus,Right Handed,70,170,0.208,6,1
Manny Sanguillen,Right Handed,72,193,0.296,65,1
Gates Brown,Left Handed,71,220,0.257,84,1
Johnny Ray,Switch Hitter,71,170,0.29,53,1
Jesus Alou,Right Handed,74,190,0.28,32,1
Ken Landreaux,Left Handed,70,165,0.268,91,1
Enos Cabell,Right Handed,76,170,0.277,60,1
Roy Branch,Right Handed,72,175,0,0,1
Billy North,Switch Hitter,71,185,0.261,20,1
Juan Beniquez,Right Handed,71,150,0.274,79,1
Frank Fernandez,Right Handed,72,185,0.199,39,1
Bombo Rivera,Right Handed,70,187,0.265,10,1
Steve Brye,Right Handed,72,190,0.258,30,1
Ron Jackson,Right Handed,72,200,0.259,56,1
Roger Metzger,Switch Hitter,72,165,0.231,5,1
Rufino Linares,Right Handed,72,170,0.27,11,1
Ray Webster,Left Handed,72,185,0.244,17,1
Bob Kearney,Right Handed,72,190,0.233,27,1
Fergie Jenkins,Right Handed,77,205,0.165,13,1
Dick Dietz,Right Handed,73,195,0.261,66,1
Ted Cox,Right Handed,75,195,0.245,10,1
Bobby Mitchell,Left Handed,70,170,0.243,3,1
Bobby Mitchell,Right Handed,75,185,0.235,21,1
Barry Evans,Right Handed,73,180,0.251,2,1
Mickey Brantley,Right Handed,70,180,0.259,32,1
Al Gallagher,Right Handed,72,180,0.263,11,1
Rob Woodward,Right Handed,75,185,0,0,1
Hector Cruz,Right Handed,71,170,0.225,39,1
Fred Norman,Switch Hitter,68,155,0.125,0,1
Woody Woodward,Right Handed,74,180,0.236,1,1
Ted Martinez,Right Handed,72,165,0.24,7,1
Jim Anderson,Right Handed,72,170,0.218,13,1
Lenn Sakata,Right Handed,69,160,0.23,25,1
Dave Duncan,Right Handed,74,190,0.214,109,1
Randy Jones,Right Handed,72,178,0.132,0,1
Dick Billings,Right Handed,73,195,0.227,16,1
Bob Veselic,Right Handed,72,175,0,0,1
Bruce Bochte,Left Handed,75,195,0.282,100,1
Bernie Carbo,Left Handed,71,173,0.264,96,1
Vic Davalillo,Left Handed,67,150,0.279,36,1
Burt Hooton,Right Handed,73,210,0.123,4,1
Chuck Hockenbery,Switch Hitter,73,195,0,0,1
Bob Ferris,Right Handed,78,225,0,0,1
Fernando Gonzalez,Right Handed,70,165,0.235,17,1
Jim Sundberg,Right Handed,72,190,0.248,95,1
Andy Kosco,Right Handed,75,205,0.236,73,1
Steve Huntz,Switch Hitter,73,204,0.206,16,1
Gary Wheelock,Right Handed,75,205,0,0,1
Lenny Faedo,Right Handed,72,170,0.251,5,1
John Lowenstein,Left Handed,72,175,0.253,116,1
Don Kessinger,Switch Hitter,73,170,0.252,14,1
Joe Hague,Left Handed,72,195,0.239,40,1
Bake McBride,Left Handed,74,190,0.299,63,1
Dick Davis,Right Handed,75,190,0.265,27,1
Richie Scheinblum,Switch Hitter,73,180,0.263,13,1
Ed Herrmann,Left Handed,73,195,0.24,80,1
Mike Rochford,Left Handed,76,205,0,0,1
Jeff Schneider,Switch Hitter,75,195,0,0,1
Bob Molinaro,Left Handed,72,190,0.264,14,1
Mike Hegan,Left Handed,73,188,0.242,53,1
Mike Diaz,Right Handed,74,195,0.247,31,1
Tim Foli,Right Handed,72,179,0.251,25,1
Alan Knicely,Right Handed,72,190,0.213,12,1
Tim Laudner,Right Handed,75,212,0.225,77,1
Jose Morales,Right Handed,71,187,0.287,26,1
Luis Encarnacion,Right Handed,70,178,0,0,1
Rick Kreuger,Right Handed,74,185,0,0,1
Juan Marichal,Right Handed,72,185,0.165,4,1
Vida Blue,Switch Hitter,72,189,0.104,4,1
Angel Moreno,Left Handed,69,165,0,0,1
Roger Weaver,Right Handed,75,190,0,0,1
Stan Papi,Right Handed,72,170,0.218,7,1
Rob Wilfong,Left Handed,73,180,0.248,39,1
Chris Knapp,Right Handed,77,195,0,0,1
Steve Henderson,Right Handed,74,190,0.28,68,1
Rob Picciolo,Right Handed,74,185,0.234,17,1
Don Welchel,Right Handed,76,205,0,0,1
Randy Wiles,Left Handed,73,185,0,0,1
Roberto Pena,Right Handed,68,170,0.245,13,1
Bob Dernier,Right Handed,72,160,0.255,23,1
Bill Melton,Right Handed,74,200,0.253,160,1
Albert Hall,Switch Hitter,71,155,0.251,5,1
Barbaro Garbey,Right Handed,70,170,0.267,11,1
John Milner,Left Handed,72,185,0.249,131,1
Rich Reese,Left Handed,75,185,0.253,52,1
Chris Bando,Switch Hitter,72,195,0.227,27,1
Bill Buckner,Left Handed,72,185,0.289,174,1
Jack Hiatt,Right Handed,74,190,0.251,22,1
Nelson Mathews,Right Handed,76,195,0.223,22,1
Larry Lintz,Switch Hitter,69,150,0.227,0,1
Ron Theobald,Right Handed,68,165,0.248,2,1
Dewey Robinson,Right Handed,72,180,0,0,1
Rafael Santana,Right Handed,73,165,0.246,13,1
Jerry Hairston,Switch Hitter,70,170,0.258,30,1
Tony Arnold,Right Handed,71,170,0,0,1
Jeff Schattinger,Left Handed,77,200,0,0,1
Ike Brookens,Right Handed,77,170,0,0,1
Tommie Aaron,Right Handed,75,190,0.229,13,1
Steve Dillard,Right Handed,73,180,0.243,13,1
Win Remmerswaal,Right Handed,74,160,0,0,1
Jeff Peterek,Right Handed,74,195,0,0,1
George Scott,Right Handed,74,200,0.268,271,1
Jeff Shaver,Right Handed,75,195,0,0,1
Ken Walters,Right Handed,73,180,0.231,11,1
Gorman Thomas,Right Handed,74,210,0.225,268,1
Paul Dade,Right Handed,73,185,0.27,10,1
